代码,公告,支付金额(元)
002085.SZ,2019/10/9,"271,876,333.23"
002073.SZ,2019/10/9,"24,995,304.00"
002050.SZ,2019/10/9,"216,071,047.48"
002044.SZ,2019/10/9,"300,010,033.08"
002024.SZ,2019/10/9,
002014.SZ,2019/10/9,"75,014,057.36"
000998.SZ,2019/10/9,"234,674,495.81"
000990.SZ,2019/10/9,"485,484,528.64"
000960.SZ,2019/10/9,"175,020,043.91"
000903.SZ,2019/10/9,"100,005,627.18"
000887.SZ,2019/10/9,"100,000,752.40"
000876.SZ,2019/10/9,"558,370,676.90"
000861.SZ,2019/10/9,"5,043,798.68"
000826.SZ,2019/10/9,"39,915,924.09"
000718.SZ,2019/10/9,"982,044,453.89"
000688.SZ,2019/10/9,"439,940,798.76"
000615.SZ,2019/10/9,"108,988,912.00"
000598.SZ,2019/10/9,"78,144,243.92"
000538.SZ,2019/10/9,"244,704,739.06"
000333.SZ,2019/10/9,"3,099,683,600.75"
000158.SZ,2019/10/9,"240,005,778.05"
000056.SZ,2019/10/9,"16,750,608.63"
000030.SZ,2019/10/9,"331,003,071.32"
000008.SZ,2019/10/9,"224,841,771.00"
603779.SH,2019/10/8,"6,799,890.26"
300737.SZ,2019/10/8,"47,492,559.24"
300723.SZ,2019/10/8,"49,986,092.58"
300689.SZ,2019/10/8,"7,410,130.00"
300679.SZ,2019/10/8,
300650.SZ,2019/10/8,"20,185,973.27"
300617.SZ,2019/10/8,"50,498,174.11"
300497.SZ,2019/10/8,"100,002,352.10"
300452.SZ,2019/10/8,"20,054,102.34"
300438.SZ,2019/10/8,"27,621,650.95"
300400.SZ,2019/10/8,"96,756,305.60"
300335.SZ,2019/10/8,"5,027,173.00"
300297.SZ,2019/10/8,"2,199,192.00"
300296.SZ,2019/10/8,"172,814,325.86"
300259.SZ,2019/10/8,"17,287,479.92"
300233.SZ,2019/10/8,"4,944,049.00"
300232.SZ,2019/10/8,"40,000,842.04"
300224.SZ,2019/10/8,"82,884,581.59"
300204.SZ,2019/10/8,"82,684,773.32"
300168.SZ,2019/10/8,"29,984,265.25"
300138.SZ,2019/10/8,"10,611,611.54"
300058.SZ,2019/10/8,"147,594,352.41"
300039.SZ,2019/10/8,"65,339,777.95"
300003.SZ,2019/10/8,"254,282,100.00"
002925.SZ,2019/10/8,"101,314,348.30"
002578.SZ,2019/10/8,"133,460,631.72"
