,index,code,time,money,year
2351,4673,002531.SZ,2018/12/29,34539243.56,2018
2354,1805,002531.SZ,2019/6/6,2027356,2019
2358,242,002531.SZ,2019/10/10,17947628.8,2019
2360,6473,002532.SZ,2018/6/26,6540571.74,2018
2364,6252,002532.SZ,2018/8/3,55200203.55,2018
2366,488,002534.SZ,2019/9/27,3668380.16,2019
2369,6726,002537.SZ,2018/3/16,39607612.68,2018
2375,6199,002537.SZ,2018/8/9,110358888.5,2018
2377,5983,002537.SZ,2018/9/7,7645016.4,2018
2384,4179,002537.SZ,2019/1/23,393365756.2,2019
2386,2205,002537.SZ,2019/5/18,2037369,2019
2395,6350,002540.SZ,2018/7/25,4778500,2018
2410,6504,002548.SZ,2018/6/14,4015447.8,2018
2422,6961,002550.SZ,2017/3/17,44999536.91,2017
2424,6010,002550.SZ,2018/9/5,11427798,2018
2434,549,002550.SZ,2019/9/11,309444715.6,2019
2436,2692,002555.SZ,2019/4/12,116113041.1,2019
2445,5239,002556.SZ,2018/11/28,4828852,2018
2452,3091,002556.SZ,2019/3/30,100481300,2019
2455,1751,002557.SZ,2019/6/18,4291885,2019
2460,67,002557.SZ,2019/11/2,25706131.1,2019
2462,5198,002558.SZ,2018/12/1,856600,2018
2474,156,002558.SZ,2019/10/31,1468174837,2019
2477,5914,002559.SZ,2018/9/21,2259869,2018
2492,577,002559.SZ,2019/9/5,79854774.51,2019
2494,5524,002562.SZ,2018/11/2,4999121.66,2018
2505,508,002562.SZ,2019/9/21,30000260.48,2019
2508,4699,002564.SZ,2018/12/27,9998200,2018
2521,5976,002565.SZ,2018/9/8,36018300,2018
2523,6058,002567.SZ,2018/9/4,5981206.16,2018
2530,3204,002567.SZ,2019/3/9,37041997.45,2019
2534,3787,002568.SZ,2019/2/12,298380,2019
2542,380,002568.SZ,2019/10/9,12614840.5,2019
2544,5640,002570.SZ,2018/10/27,33322575.86,2018
2548,4698,002570.SZ,2018/12/27,58645307.86,2018
2550,1754,002570.SZ,2019/6/17,2014554,2019
2554,379,002570.SZ,2019/10/9,34992584,2019
2556,5888,002572.SZ,2018/9/29,9508907.02,2018
2571,531,002572.SZ,2019/9/17,205112633.1,2019
2573,2204,002578.SZ,2019/5/18,4527906,2019
2583,6692,002579.SZ,2018/3/28,4986731,2018
2590,5970,002579.SZ,2018/9/11,43012590.62,2018
2592,4920,002582.SZ,2018/12/6,4036469,2018
2604,378,002582.SZ,2019/10/9,116168069.2,2019
2606,4782,002587.SZ,2018/12/20,2444196,2018
